principal_component,explained_variance_ratio,cumulative_explained_variance
PC174,0.0002672272151873527,0.9690639792958442
PC175,0.00026091962928550275,0.9693248989251297
PC176,0.00025910996416217695,0.969584008889292
PC177,0.0002571147535217987,0.9698411236428137
PC178,0.0002552668517357912,0.9700963904945495
PC179,0.0002549793462453724,0.970351369840795
PC180,0.00025325676616533467,0.9706046266069603
PC181,0.0002501524636533183,0.9708547790706137
PC182,0.00024897760228605376,0.9711037566728997
PC183,0.00024692960363961497,0.9713506862765393
PC184,0.0002461220804801628,0.9715968083570194
PC185,0.0002449050493575135,0.9718417134063769
PC186,0.00024147935539404303,0.972083192761771
PC187,0.00024001456398948872,0.9723232073257605
PC188,0.00023937184831215083,0.9725625791740726
PC189,0.00023713549265876667,0.9727997146667314
PC190,0.00023511209354776035,0.9730348267602792
PC191,0.00023066486231689923,0.9732654916225961
PC192,0.00022736289417391912,0.97349285451677
PC193,0.00022488153244511823,0.9737177360492152
PC194,0.00022417329441354341,0.9739419093436288
PC195,0.00022174429333176533,0.9741636536369606
PC196,0.00021801082776667856,0.9743816644647272
PC197,0.00021638750707715304,0.9745980519718044
PC198,0.00021100852947006184,0.9748090605012745
PC199,0.00021022885769964218,0.9750192893589741
PC200,0.00021019729678011022,0.9752294866557542
PC201,0.00020872308244702665,0.9754382097382012
PC202,0.00020500348844727329,0.9756432132266485
PC203,0.0002031894904551042,0.9758464027171035
PC204,0.00019998916626234834,0.9760463918833658
PC205,0.0001982363322824042,0.9762446282156483
PC206,0.00019697637052471634,0.976441604586173
PC207,0.00019610093935016213,0.9766377055255232
PC208,0.00019558485732989398,0.976833290382853
PC209,0.00019118152260154668,0.9770244719054546
PC210,0.0001890018489078202,0.9772134737543624
PC211,0.000188725960915505,0.9774021997152779
PC212,0.00018727908362112114,0.977589478798899
PC213,0.00018584197955329607,0.9777753207784523
PC214,0.00018472158676908495,0.9779600423652214
PC215,0.00018156227145840452,0.9781416046366798
PC216,0.00018138153811772536,0.9783229861747975
PC217,0.00017971148987671448,0.9785026976646742
PC218,0.00017707353760985751,0.9786797712022841
PC219,0.00017679306074222504,0.9788565642630264
PC220,0.00017555728741871598,0.9790321215504451
PC221,0.00017499009279229666,0.9792071116432374
PC222,0.00017365301446205133,0.9793807646576994
PC223,0.00017333327941606945,0.9795540979371155
PC224,0.00017277126592501392,0.9797268692030404
PC225,0.00017117224852585878,0.9798980414515662
