transformed_feature,l1_coefficient,absolute_coefficient,selected_by_l1,source_feature,association_direction
categorical__brand_clean_first_decathlon,0.0,0.0,False,brand_clean_first,Coefficient shrunk to zero
categorical__brand_clean_first_defacto,0.0,0.0,False,brand_clean_first,Coefficient shrunk to zero
categorical__brand_clean_first_defender,0.0,0.0,False,brand_clean_first,Coefficient shrunk to zero
categorical__brand_clean_first_dell,0.0,0.0,False,brand_clean_first,Coefficient shrunk to zero
categorical__brand_clean_first_delonghi,0.0,0.0,False,brand_clean_first,Coefficient shrunk to zero
categorical__brand_clean_first_dyson,0.0,0.0,False,brand_clean_first,Coefficient shrunk to zero
categorical__brand_clean_first_electrolux,0.0,0.0,False,brand_clean_first,Coefficient shrunk to zero
categorical__brand_clean_first_elenberg,0.0,0.0,False,brand_clean_first,Coefficient shrunk to zero
categorical__brand_clean_first_epson,0.0,0.0,False,brand_clean_first,Coefficient shrunk to zero
categorical__brand_clean_first_escan,0.0,0.0,False,brand_clean_first,Coefficient shrunk to zero
categorical__brand_clean_first_force,0.0,0.0,False,brand_clean_first,Coefficient shrunk to zero
categorical__brand_clean_first_galaxy,0.0,0.0,False,brand_clean_first,Coefficient shrunk to zero
categorical__brand_clean_first_gefest,0.0,0.0,False,brand_clean_first,Coefficient shrunk to zero
categorical__brand_clean_first_gf,0.0,0.0,False,brand_clean_first,Coefficient shrunk to zero
categorical__brand_clean_first_giant,0.0,0.0,False,brand_clean_first,Coefficient shrunk to zero
categorical__brand_clean_first_gigabyte,0.0,0.0,False,brand_clean_first,Coefficient shrunk to zero
categorical__brand_clean_first_gorenje,0.0,0.0,False,brand_clean_first,Coefficient shrunk to zero
